date,gold_usd
2014-01-01,1204.5
2014-01-02,1225.0
2014-01-03,1234.5
2014-01-04,1234.5
2014-01-05,1234.5
2014-01-06,1246.25
2014-01-07,1227.5
2014-01-08,1221.0
2014-01-09,1226.0
2014-01-10,1244.25
2014-01-11,1244.25
2014-01-12,1244.25
2014-01-13,1248.0
2014-01-14,1251.5
2014-01-15,1236.0
2014-01-16,1241.5
2014-01-17,1250.0
2014-01-18,1250.0
2014-01-19,1250.0
2014-01-20,1255.75
2014-01-21,1238.0
2014-01-22,1241.0
2014-01-23,1263.0
2014-01-24,1267.0
2014-01-25,1267.0
2014-01-26,1267.0
2014-01-27,1260.5
2014-01-28,1251.25
2014-01-29,1264.0
2014-01-30,1242.5
2014-01-31,1251.0
2014-02-01,1251.0
2014-02-02,1251.0
2014-02-03,1262.0
2014-02-04,1250.25
2014-02-05,1254.5
2014-02-06,1256.5
2014-02-07,1259.25
2014-02-08,1259.25
2014-02-09,1259.25
2014-02-10,1277.0
2014-02-11,1282.0
2014-02-12,1289.5
2014-02-13,1296.0
2014-02-14,1320.0
2014-02-15,1320.0
2014-02-16,1320.0
2014-02-17,1327.5
2014-02-18,1320.75
2014-02-19,1320.5
2014-02-20,1316.25
2014-02-21,1323.25
2014-02-22,1323.25
2014-02-23,1323.25
2014-02-24,1334.75
2014-02-25,1339.0
2014-02-26,1331.75
2014-02-27,1332.25
2014-02-28,1326.5
2014-03-01,1326.5
2014-03-02,1326.5
2014-03-03,1349.5
2014-03-04,1334.75
2014-03-05,1337.0
2014-03-06,1345.25
2014-03-07,1335.25
2014-03-08,1335.25
2014-03-09,1335.25
2014-03-10,1344.0
2014-03-11,1346.25
2014-03-12,1366.0
2014-03-13,1368.75
2014-03-14,1385.0
2014-03-15,1385.0
2014-03-16,1385.0
2014-03-17,1378.5
2014-03-18,1355.75
2014-03-19,1338.0
2014-03-20,1327.0
2014-03-21,1336.0
2014-03-22,1336.0
2014-03-23,1336.0
2014-03-24,1310.75
2014-03-25,1313.5
2014-03-26,1304.0
2014-03-27,1296.0
2014-03-28,1294.75
2014-03-29,1294.75
2014-03-30,1294.75
2014-03-30,1294.75
2014-03-31,1291.75
2014-04-01,1283.75
2014-04-02,1292.0
2014-04-03,1284.0
2014-04-04,1297.25
2014-04-05,1297.25
2014-04-06,1297.25
2014-04-07,1299.0
2014-04-08,1309.5
2014-04-09,1301.75
2014-04-10,1320.5
2014-04-11,1318.0
2014-04-12,1318.0
2014-04-13,1318.0
2014-04-14,1325.75
2014-04-15,1298.0
2014-04-16,1301.5
2014-04-17,1299.0
2014-04-18,1299.0
2014-04-19,1299.0
2014-04-20,1299.0
2014-04-21,1299.0
2014-04-22,1286.75
2014-04-23,1285.25
2014-04-24,1291.5
2014-04-25,1301.25
2014-04-26,1301.25
2014-04-27,1301.25
2014-04-28,1299.0
2014-04-29,1297.75
2014-04-30,1288.5
2014-05-01,1278.5
2014-05-02,1281.25
2014-05-03,1281.25
2014-05-04,1281.25
2014-05-05,1281.25
2014-05-06,1306.25
2014-05-07,1296.0
2014-05-08,1287.0
2014-05-09,1291.25
2014-05-10,1291.25
2014-05-11,1291.25
2014-05-12,1298.75
2014-05-13,1296.5
2014-05-14,1305.25
2014-05-15,1299.0
2014-05-16,1291.5
2014-05-17,1291.5
2014-05-18,1291.5
2014-05-19,1302.0
2014-05-20,1295.5
2014-05-21,1287.25
2014-05-22,1298.5
2014-05-23,1291.5
2014-05-24,1291.5
2014-05-25,1291.5
2014-05-26,1291.5
2014-05-27,1275.5
2014-05-28,1263.5
2014-05-29,1255.0
2014-05-30,1250.5
2014-05-31,1250.5
2014-06-01,1250.5
2014-06-02,1247.25
2014-06-03,1242.75
2014-06-04,1245.25
2014-06-05,1252.5
2014-06-06,1247.5
2014-06-07,1247.5
2014-06-08,1247.5
2014-06-09,1253.5
2014-06-10,1259.5
2014-06-11,1262.0
2014-06-12,1265.75
2014-06-13,1273.0
2014-06-14,1273.0
2014-06-15,1273.0
2014-06-16,1276.25
2014-06-17,1267.5
2014-06-18,1269.75
2014-06-19,1293.0
2014-06-20,1312.5
2014-06-21,1312.5
2014-06-22,1312.5
2014-06-23,1313.5
2014-06-24,1318.5
2014-06-25,1316.75
2014-06-26,1311.75
2014-06-27,1317.5
2014-06-28,1317.5
2014-06-29,1317.5
2014-06-30,1315.0
2014-07-01,1327.5
2014-07-02,1326.5
2014-07-03,1317.5
2014-07-04,1319.25
2014-07-05,1319.25
2014-07-06,1319.25
2014-07-07,1313.0
2014-07-08,1323.0
2014-07-09,1322.75
2014-07-10,1340.25
2014-07-11,1335.0
2014-07-12,1335.0
2014-07-13,1335.0
2014-07-14,1306.0
2014-07-15,1310.0
2014-07-16,1301.0
2014-07-17,1302.5
2014-07-18,1307.25
2014-07-19,1307.25
2014-07-20,1307.25
2014-07-21,1311.5
2014-07-22,1310.25
2014-07-23,1308.0
2014-07-24,1292.75
2014-07-25,1294.75
2014-07-26,1294.75
2014-07-27,1294.75
2014-07-28,1304.5
2014-07-29,1299.25
2014-07-30,1294.5
2014-07-31,1285.25
2014-08-01,1291.25
2014-08-02,1291.25
2014-08-03,1291.25
2014-08-04,1290.5
2014-08-05,1284.75
2014-08-06,1306.5
2014-08-07,1305.25
2014-08-08,1309.75
2014-08-09,1309.75
2014-08-10,1309.75
2014-08-11,1307.25
2014-08-12,1315.75
2014-08-13,1312.0
2014-08-14,1313.5
2014-08-15,1296.0
2014-08-16,1296.0
2014-08-17,1296.0
2014-08-18,1296.75
2014-08-19,1296.5
2014-08-20,1295.0
2014-08-21,1275.25
2014-08-22,1277.25
2014-08-23,1277.25
2014-08-24,1277.25
2014-08-25,1277.25
2014-08-26,1286.0
2014-08-27,1282.75
2014-08-28,1292.0
2014-08-29,1285.75
2014-08-30,1285.75
2014-08-31,1285.75
2014-09-01,1286.5
2014-09-02,1267.0
2014-09-03,1265.5
2014-09-04,1271.5
2014-09-05,1266.0
2014-09-06,1266.0
2014-09-07,1266.0
2014-09-08,1259.0
2014-09-09,1255.75
2014-09-10,1251.0
2014-09-11,1241.25
2014-09-12,1231.5
2014-09-13,1231.5
2014-09-14,1231.5
2014-09-15,1234.25
2014-09-16,1232.25
2014-09-17,1236.0
2014-09-18,1220.5
2014-09-19,1219.75
2014-09-20,1219.75
2014-09-21,1219.75
2014-09-22,1213.5
2014-09-23,1222.0
2014-09-24,1217.25
2014-09-25,1213.75
2014-09-26,1213.75
2014-09-27,1213.75
2014-09-28,1213.75
2014-09-29,1219.5
2014-09-30,1216.5
2014-10-01,1216.5
2014-10-02,1211.75
2014-10-03,1195.0
2014-10-04,1195.0
2014-10-05,1195.0
2014-10-06,1195.75
2014-10-07,1210.5
2014-10-08,1217.0
2014-10-09,1226.75
2014-10-10,1219.0
2014-10-11,1219.0
2014-10-12,1219.0
2014-10-13,1229.0
2014-10-14,1234.75
2014-10-15,1237.5
2014-10-16,1237.75
2014-10-17,1234.25
2014-10-18,1234.25
2014-10-19,1234.25
2014-10-20,1244.5
2014-10-21,1250.25
2014-10-22,1243.75
2014-10-23,1232.75
2014-10-24,1232.75
2014-10-25,1232.75
2014-10-27,1228.75
2014-10-28,1229.25
2014-10-29,1223.5
2014-10-30,1202.0
2014-10-31,1164.25
2014-11-01,1164.25
2014-11-02,1164.25
2014-11-03,1167.75
2014-11-04,1166.5
2014-11-05,1142.0
2014-11-06,1145.0
2014-11-07,1154.5
2014-11-08,1154.5
2014-11-09,1154.5
2014-11-10,1162.0
2014-11-11,1156.5
2014-11-12,1164.5
2014-11-13,1161.75
2014-11-14,1169.0
2014-11-15,1169.0
2014-11-16,1169.0
2014-11-17,1182.5
2014-11-18,1192.75
2014-11-19,1196.0
2014-11-20,1190.0
2014-11-21,1203.75
2014-11-22,1203.75
2014-11-23,1203.75
2014-11-24,1197.5
2014-11-25,1199.0
2014-11-26,1197.5
2014-11-27,1194.75
2014-11-28,1182.75
2014-11-29,1182.75
2014-11-30,1182.75
2014-12-01,1194.0
2014-12-02,1195.0
2014-12-03,1204.75
2014-12-04,1209.0
2014-12-05,1194.0
2014-12-06,1194.0
2014-12-07,1194.0
2014-12-08,1193.0
2014-12-09,1227.0
2014-12-10,1229.0
2014-12-11,1216.25
2014-12-12,1217.0
2014-12-13,1217.0
2014-12-14,1217.0
2014-12-15,1209.25
2014-12-16,1202.5
2014-12-17,1195.75
2014-12-18,1199.0
2014-12-19,1195.5
2014-12-20,1195.5
2014-12-21,1195.5
2014-12-22,1195.25
2014-12-23,1175.75
2014-12-24,1175.75
2014-12-25,1175.75
2014-12-26,1175.75
2014-12-27,1175.75
2014-12-28,1175.75
2014-12-29,1185.5
2014-12-30,1206.0
2014-12-31,1206.0
2015-01-01,1206.0
2015-01-02,1172.0
2015-01-03,1172.0
2015-01-04,1172.0
2015-01-05,1200.0
2015-01-06,1210.25
2015-01-07,1210.5
2015-01-08,1215.5
2015-01-09,1217.75
2015-01-10,1217.75
2015-01-11,1217.75
2015-01-12,1226.5
2015-01-13,1231.5
2015-01-14,1235.0
2015-01-15,1259.0
2015-01-16,1277.5
2015-01-17,1277.5
2015-01-18,1277.5
2015-01-19,1273.75
2015-01-20,1288.75
2015-01-21,1293.5
2015-01-22,1295.75
2015-01-23,1294.75
2015-01-24,1294.75
2015-01-25,1294.75
2015-01-26,1281.25
2015-01-27,1288.5
2015-01-28,1288.0
2015-01-29,1268.75
2015-01-30,1260.25
2015-01-31,1260.25
2015-02-01,1260.25
2015-02-02,1272.5
2015-02-03,1264.25
2015-02-04,1268.5
2015-02-05,1259.25
2015-02-06,1241.0
2015-02-07,1241.0
2015-02-08,1241.0
2015-02-09,1238.5
2015-02-10,1234.5
2015-02-11,1223.75
2015-02-12,1222.5
2015-02-13,1232.5
2015-02-14,1232.5
2015-02-15,1232.5
2015-02-16,1229.25
2015-02-17,1209.5
2015-02-18,1206.0
2015-02-19,1209.5
2015-02-20,1208.25
2015-02-21,1208.25
2015-02-22,1208.25
2015-02-23,1204.5
2015-02-24,1192.5
2015-02-25,1204.75
2015-02-26,1208.25
2015-02-27,1214.0
2015-02-28,1214.0
2015-03-01,1214.0
2015-03-02,1212.5
2015-03-03,1212.75
2015-03-04,1199.5
2015-03-05,1202.0
2015-03-06,1175.75
2015-03-07,1175.75
2015-03-08,1175.75
2015-03-09,1168.5
2015-03-10,1162.0
2015-03-11,1150.0
2015-03-12,1152.25
2015-03-13,1152.0
2015-03-14,1152.0
2015-03-15,1152.0
2015-03-16,1150.75
2015-03-17,1150.75
2015-03-18,1147.25
2015-03-19,1166.0
2015-03-20,1183.1
2015-03-21,1183.1
2015-03-22,1183.1
2015-03-23,1186.25
2015-03-24,1191.5
2015-03-25,1195.6
2015-03-26,1203.15
2015-03-27,1195.75
2015-03-28,1195.75
2015-03-29,1195.75
2015-03-29,1195.75
2015-03-30,1185.5
2015-03-31,1187.0
2015-04-01,1197.0
2015-04-02,1198.5
2015-04-03,1198.5
2015-04-04,1198.5
2015-04-05,1198.5
2015-04-06,1198.5
2015-04-07,1211.0
2015-04-08,1207.25
2015-04-09,1194.8
2015-04-10,1207.35
2015-04-11,1207.35
2015-04-12,1207.35
2015-04-13,1198.9
2015-04-14,1194.75
2015-04-15,1192.9
2015-04-16,1204.35
2015-04-17,1203.35
2015-04-18,1203.35
2015-04-19,1203.35
2015-04-20,1196.5
2015-04-21,1195.3
2015-04-22,1189.25
2015-04-23,1185.75
2015-04-24,1183.0
2015-04-25,1183.0
2015-04-26,1183.0
2015-04-27,1200.0
2015-04-28,1209.0
2015-04-29,1209.0
2015-04-30,1180.25
2015-05-01,1175.95
2015-05-02,1175.95
2015-05-03,1175.95
2015-05-04,1175.95
2015-05-05,1197.0
2015-05-06,1194.25
2015-05-07,1187.0
2015-05-08,1186.0
2015-05-09,1186.0
2015-05-10,1186.0
2015-05-11,1189.25
2015-05-12,1191.5
2015-05-13,1210.5
2015-05-14,1225.0
2015-05-15,1220.5
2015-05-16,1220.5
2015-05-17,1220.5
2015-05-18,1223.5
2015-05-19,1214.3
2015-05-20,1210.5
2015-05-21,1205.0
2015-05-22,1204.1
2015-05-23,1204.1
2015-05-24,1204.1
2015-05-25,1204.1
2015-05-26,1185.4
2015-05-27,1185.85
2015-05-28,1185.0
2015-05-29,1191.4
2015-05-30,1191.4
2015-05-31,1191.4
2015-06-01,1199.9
2015-06-02,1192.8
2015-06-03,1190.0
2015-06-04,1176.0
2015-06-05,1164.6
2015-06-06,1164.6
2015-06-07,1164.6
2015-06-08,1172.8
2015-06-09,1177.4
2015-06-10,1188.5
2015-06-11,1178.5
2015-06-12,1182.8
2015-06-13,1182.8
2015-06-14,1182.8
2015-06-15,1181.4
2015-06-16,1177.75
2015-06-17,1178.0
2015-06-18,1201.85
2015-06-19,1203.4
2015-06-20,1203.4
2015-06-21,1203.4
2015-06-22,1185.5
2015-06-23,1178.0
2015-06-24,1173.75
2015-06-25,1172.65
2015-06-26,1170.5
2015-06-27,1170.5
2015-06-28,1170.5
2015-06-29,1176.0
2015-06-30,1171.0
2015-07-01,1168.0
2015-07-02,1165.25
2015-07-03,1167.95
2015-07-04,1167.95
2015-07-05,1167.95
2015-07-06,1166.0
2015-07-07,1156.25
2015-07-08,1158.5
2015-07-09,1164.25
2015-07-10,1159.3
2015-07-11,1159.3
2015-07-12,1159.3
2015-07-13,1154.0
2015-07-14,1157.4
2015-07-15,1147.4
2015-07-16,1144.4
2015-07-17,1132.8
2015-07-18,1132.8
2015-07-19,1132.8
2015-07-20,1104.6
2015-07-21,1105.6
2015-07-22,1088.6
2015-07-23,1097.4
2015-07-24,1080.8
2015-07-25,1080.8
2015-07-26,1080.8
2015-07-27,1100.0
2015-07-28,1096.2
2015-07-29,1090.25
2015-07-30,1087.5
2015-07-31,1098.4
2015-08-01,1098.4
2015-08-02,1098.4
2015-08-03,1091.9
2015-08-04,1090.65
2015-08-05,1085.1
2015-08-06,1089.75
2015-08-07,1093.5
2015-08-08,1093.5
2015-08-09,1093.5
2015-08-10,1097.0
2015-08-11,1108.25
2015-08-12,1119.0
2015-08-13,1116.75
2015-08-14,1118.25
2015-08-15,1118.25
2015-08-16,1118.25
2015-08-17,1118.8
2015-08-18,1111.45
2015-08-19,1126.15
2015-08-20,1147.7
2015-08-21,1156.5
2015-08-22,1156.5
2015-08-23,1156.5
2015-08-24,1166.5
2015-08-25,1137.5
2015-08-26,1120.75
2015-08-27,1119.0
2015-08-28,1135.0
2015-08-29,1135.0
2015-08-30,1135.0
2015-08-31,1135.0
2015-09-01,1142.3
2015-09-02,1137.75
2015-09-03,1128.0
2015-09-04,1118.25
2015-09-05,1118.25
2015-09-06,1118.25
2015-09-07,1119.5
2015-09-08,1121.15
2015-09-09,1109.85
2015-09-10,1109.5
2015-09-11,1100.25
2015-09-12,1100.25
2015-09-13,1100.25
2015-09-14,1104.8
2015-09-15,1105.95
2015-09-16,1117.6
2015-09-17,1117.5
2015-09-18,1141.5
2015-09-19,1141.5
2015-09-20,1141.5
2015-09-21,1133.25
2015-09-22,1122.9
2015-09-23,1131.35
2015-09-24,1154.5
2015-09-25,1146.65
2015-09-26,1146.65
2015-09-27,1146.65
2015-09-28,1131.05
2015-09-29,1132.1
2015-09-30,1114.0
2015-10-01,1119.0
2015-10-02,1140.75
2015-10-03,1140.75
2015-10-04,1140.75
2015-10-05,1139.75
2015-10-06,1147.5
2015-10-07,1144.6
2015-10-08,1140.0
2015-10-09,1151.55
2015-10-10,1151.55
2015-10-11,1151.55
2015-10-12,1164.9
2015-10-13,1165.2
2015-10-14,1173.9
2015-10-15,1184.25
2015-10-16,1180.85
2015-10-17,1180.85
2015-10-18,1180.85
2015-10-19,1175.4
2015-10-20,1177.75
2015-10-21,1167.1
2015-10-22,1167.0
2015-10-23,1161.25
2015-10-24,1161.25
2015-10-26,1166.4
2015-10-27,1165.7
2015-10-28,1179.6
2015-10-29,1148.6
2015-10-30,1142.35
2015-10-31,1142.35
2015-11-01,1142.35
2015-11-02,1134.0
2015-11-03,1123.1
2015-11-04,1114.7
2015-11-05,1106.3
2015-11-06,1088.9
2015-11-07,1088.9
2015-11-08,1088.9
2015-11-09,1089.6
2015-11-10,1087.1
2015-11-11,1085.9
2015-11-12,1087.4
2015-11-13,1081.5
2015-11-14,1081.5
2015-11-15,1081.5
2015-11-16,1084.75
2015-11-17,1079.2
2015-11-18,1067.75
2015-11-19,1082.6
2015-11-20,1081.75
2015-11-21,1081.75
2015-11-22,1081.75
2015-11-23,1070.5
2015-11-24,1076.4
2015-11-25,1068.0
2015-11-26,1071.0
2015-11-27,1057.4
2015-11-28,1057.4
2015-11-29,1057.4
2015-11-30,1061.9
2015-12-01,1065.4
2015-12-02,1055.4
2015-12-03,1055.45
2015-12-04,1079.25
2015-12-05,1079.25
2015-12-06,1079.25
2015-12-07,1075.8
2015-12-08,1072.1
2015-12-09,1081.0
2015-12-10,1071.0
2015-12-11,1072.5
2015-12-12,1072.5
2015-12-13,1072.5
2015-12-14,1068.25
2015-12-15,1061.5
2015-12-16,1075.25
2015-12-17,1049.4
2015-12-18,1062.5
2015-12-19,1062.5
2015-12-20,1062.5
2015-12-21,1078.75
2015-12-22,1074.9
2015-12-23,1068.25
2015-12-24,1068.25
2015-12-25,1068.25
2015-12-26,1068.25
2015-12-27,1068.25
2015-12-28,1068.25
2015-12-29,1070.1
2015-12-30,1060.0
2015-12-31,1060.0
2016-01-01,1060.0
2016-01-02,1060.0
2016-01-03,1060.0
2016-01-04,1082.25
2016-01-05,1077.0
2016-01-06,1091.4
2016-01-07,1106.35
2016-01-08,1101.85
2016-01-09,1101.85
2016-01-10,1101.85
2016-01-11,1100.75
2016-01-12,1085.4
2016-01-13,1088.15
2016-01-14,1088.4
2016-01-15,1093.75
2016-01-16,1093.75
2016-01-17,1093.75
2016-01-18,1089.2
2016-01-19,1086.25
2016-01-20,1101.75
2016-01-21,1096.5
2016-01-22,1096.25
2016-01-23,1096.25
2016-01-24,1096.25
2016-01-25,1106.6
2016-01-26,1113.6
2016-01-27,1116.25
2016-01-28,1114.0
2016-01-29,1111.8
2016-01-30,1111.8
2016-01-31,1111.8
2016-02-01,1126.5
2016-02-02,1128.5
2016-02-03,1132.0
2016-02-04,1156.35
2016-02-05,1150.35
2016-02-06,1150.35
2016-02-07,1150.35
2016-02-08,1193.25
2016-02-09,1191.0
2016-02-10,1190.0
2016-02-11,1241.0
2016-02-12,1239.75
2016-02-13,1239.75
2016-02-14,1239.75
2016-02-15,1208.2
2016-02-16,1209.5
2016-02-17,1210.0
2016-02-18,1210.1
2016-02-19,1231.15
2016-02-20,1231.15
2016-02-21,1231.15
2016-02-22,1211.0
2016-02-23,1221.35
2016-02-24,1250.75
2016-02-25,1236.0
2016-02-26,1226.5
2016-02-27,1226.5
2016-02-28,1226.5
2016-02-29,1234.9
2016-03-01,1236.5
2016-03-02,1239.2
2016-03-03,1250.25
2016-03-04,1277.5
2016-03-05,1277.5
2016-03-06,1277.5
2016-03-07,1267.9
2016-03-08,1267.0
2016-03-09,1246.4
2016-03-10,1266.5
2016-03-11,1264.75
2016-03-12,1264.75
2016-03-13,1264.75
2016-03-14,1242.75
2016-03-15,1232.0
2016-03-16,1228.5
2016-03-17,1266.5
2016-03-18,1252.1
2016-03-19,1252.1
2016-03-20,1252.1
2016-03-21,1244.9
2016-03-22,1252.5
2016-03-23,1217.6
2016-03-24,1221.0
2016-03-25,1221.0
2016-03-26,1221.0
2016-03-27,1221.0
2016-03-27,1221.0
2016-03-28,1221.0
2016-03-29,1226.0
2016-03-30,1236.25
2016-03-31,1237.0
2016-04-01,1213.6
2016-04-02,1213.6
2016-04-03,1213.6
2016-04-04,1219.75
2016-04-05,1231.25
2016-04-06,1221.4
2016-04-07,1242.1
2016-04-08,1239.5
2016-04-09,1239.5
2016-04-10,1239.5
2016-04-11,1254.75
2016-04-12,1254.6
2016-04-13,1245.75
2016-04-14,1233.85
2016-04-15,1227.1
2016-04-16,1227.1
2016-04-17,1227.1
2016-04-18,1234.3
2016-04-19,1255.4
2016-04-20,1252.0
2016-04-21,1249.25
2016-04-22,1243.25
2016-04-23,1243.25
2016-04-24,1243.25
2016-04-25,1238.9
2016-04-26,1241.7
2016-04-27,1247.4
2016-04-28,1256.0
2016-04-29,1285.65
2016-04-30,1285.65
2016-05-01,1285.65
2016-05-02,1285.65
2016-05-03,1294.0
2016-05-04,1283.0
2016-05-05,1280.25
2016-05-06,1289.0
2016-05-07,1289.0
2016-05-08,1289.0
2016-05-09,1265.25
2016-05-10,1262.8
2016-05-11,1276.85
2016-05-12,1279.25
2016-05-13,1265.9
2016-05-14,1265.9
2016-05-15,1265.9
2016-05-16,1285.75
2016-05-17,1277.0
2016-05-18,1272.9
2016-05-19,1246.25
2016-05-20,1254.2
2016-05-21,1254.2
2016-05-22,1254.2
2016-05-23,1245.9
2016-05-24,1236.85
2016-05-25,1220.6
2016-05-26,1223.85
2016-05-27,1216.25
2016-05-28,1216.25
2016-05-29,1216.25
2016-05-30,1216.25
2016-05-31,1212.1
2016-06-01,1214.5
2016-06-02,1212.4
2016-06-03,1240.5
2016-06-04,1240.5
2016-06-05,1240.5
2016-06-06,1244.0
2016-06-07,1241.0
2016-06-08,1263.0
2016-06-09,1263.9
2016-06-10,1275.5
2016-06-11,1275.5
2016-06-12,1275.5
2016-06-13,1280.8
2016-06-14,1287.15
2016-06-15,1283.3
2016-06-16,1310.75
2016-06-17,1290.7
2016-06-18,1290.7
2016-06-19,1290.7
2016-06-20,1281.8
2016-06-21,1272.6
2016-06-22,1264.85
2016-06-23,1262.15
2016-06-24,1315.5
2016-06-25,1315.5
2016-06-26,1315.5
2016-06-27,1324.55
2016-06-28,1309.7
2016-06-29,1321.5
2016-06-30,1320.75
2016-07-01,1340.0
2016-07-02,1340.0
2016-07-03,1340.0
2016-07-04,1350.75
2016-07-05,1350.75
2016-07-06,1366.25
2016-07-07,1356.7
2016-07-08,1354.25
2016-07-09,1354.25
2016-07-10,1354.25
2016-07-11,1357.1
2016-07-12,1342.4
2016-07-13,1342.75
2016-07-14,1323.6
2016-07-15,1327.0
2016-07-16,1327.0
2016-07-17,1327.0
2016-07-18,1334.7
2016-07-19,1330.9
2016-07-20,1315.9
2016-07-21,1321.15
2016-07-22,1320.75
2016-07-23,1320.75
2016-07-24,1320.75
2016-07-25,1313.15
2016-07-26,1323.0
2016-07-27,1329.0
2016-07-28,1341.75
2016-07-29,1342.0
2016-07-30,1342.0
2016-07-31,1342.0
2016-08-01,1349.65
2016-08-02,1363.75
2016-08-03,1358.9
2016-08-04,1362.75
2016-08-05,1340.4
2016-08-06,1340.4
2016-08-07,1340.4
2016-08-08,1336.8
2016-08-09,1341.0
2016-08-10,1347.7
2016-08-11,1355.0
2016-08-12,1352.2
2016-08-13,1352.2
2016-08-14,1352.2
2016-08-15,1339.4
2016-08-16,1344.0
2016-08-17,1343.35
2016-08-18,1350.05
2016-08-19,1346.4
2016-08-20,1346.4
2016-08-21,1346.4
2016-08-22,1335.9
2016-08-23,1342.0
2016-08-24,1327.25
2016-08-25,1321.3
2016-08-26,1318.75
2016-08-27,1318.75
2016-08-28,1318.75
2016-08-29,1318.75
2016-08-30,1318.15
2016-08-31,1309.25
2016-09-01,1309.5
2016-09-02,1324.7
2016-09-03,1324.7
2016-09-04,1324.7
2016-09-05,1326.35
2016-09-06,1337.25
2016-09-07,1348.35
2016-09-08,1343.4
2016-09-09,1330.85
2016-09-10,1330.85
2016-09-11,1330.85
2016-09-12,1324.6
2016-09-13,1323.65
2016-09-14,1321.75
2016-09-15,1310.8
